power_w,irradiance_wm2,module_temp_c
3163.8,204.8,19.35
3109.2,189.0,19.2
5160.2,244.6,19.05
1603.6,98.6,18.65
1307.4,83.4,18.15
1188.1,78.6,17.5
1343.1,85.9,17.05
1448.7,90.5,16.6
1339.4,87.1,16.1
1553.1,94.6,15.7
1550.9,105.9,15.35
1899.4,144.9,15.1
3163.8,166.9,15.15
2319.1,140.1,15.0
2839.3,161.3,14.95
2997.8,138.8,14.9
1570.6,96.8,14.65
1603.6,98.2,14.45
2228.5,128.2,14.3
3311.9,201.0,14.35
5512.3,299.1,14.75
5445.9,295.2,15.2
5342.4,289.8,15.6
5205.6,289.2,16.0
4935.8,279.5,16.35
5236.6,290.8,16.7
5175.2,287.4,16.95
4053.2,179.8,17.1
1391.1,86.8,16.7
1383.1,87.2,16.3
1375.1,86.0,15.9
1323.4,85.4,15.55
2997.8,112.7,15.3
1676.1,155.6,15.15
2287.1,161.0,15.2
1407.1,88.1,15.05
1159.6,76.6,14.8
1143.6,74.5,14.5
1032.1,70.0,14.25
1037.2,70.1,13.95
961.7,66.3,13.65
909.4,64.3,13.4
905.4,64.8,13.2
897.7,63.9,12.9
893.4,64.9,12.65
2051.9,142.6,12.6
1007.3,77.7,12.55
1077.2,73.9,12.45
1011.3,69.1,12.3
1072.1,74.5,12.2
1492.2,123.5,12.1
2952.3,206.3,12.3
3255.3,210.3,12.65
3475.0,215.1,12.95
3451.7,210.8,13.25
3404.3,210.4,13.55
3431.3,212.1,13.75
3455.9,211.4,14.05
3380.3,208.8,14.25
3327.9,205.6,14.45
3246.4,201.7,14.65
3138.1,198.1,14.75
3067.0,194.8,14.85
3043.2,193.5,14.9
3011.2,192.4,14.95
2986.7,191.8,15.05
2929.4,190.8,15.1
2841.0,185.1,15.2
2408.3,161.9,15.2
2150.2,160.7,15.15
2228.5,167.9,15.1
2208.1,170.1,15.15
2203.4,170.3,15.15
2166.2,166.7,15.15
2090.5,161.7,15.05
1998.5,157.3,15.0
1970.2,156.1,14.9
1941.6,156.4,14.9
1845.8,154.9,14.8
1762.8,154.4,14.7
1715.7,152.3,14.5
1660.1,148.2,14.4
1684.1,146.6,14.3
1644.1,145.5,14.2
1587.6,142.4,14.0
1537.1,138.3,13.85
1484.2,135.6,13.7
1510.9,135.2,13.6
1529.1,135.0,13.5
1518.9,134.2,13.45
1502.9,131.4,13.35
1476.2,127.4,13.3
1420.5,121.9,13.25
1367.1,114.1,13.2
1172.1,83.5,13.1
999.3,67.3,12.9
893.4,62.2,12.75
873.7,60.6,12.6
833.4,58.8,12.45
829.4,58.9,12.3
450.8,59.4,12.15
817.4,58.9,12.0
829.4,59.4,11.85
813.4,59.2,11.75
797.8,58.4,11.7
781.8,58.9,11.6
769.8,57.8,11.5
813.4,67.6,11.4
893.4,79.9,11.4
734.1,56.6,11.3
649.7,49.4,11.2
785.8,56.8,11.2
649.7,50.4,11.1
742.1,62.3,11.05
746.1,63.3,11.05
849.4,69.0,11.0
849.4,67.0,11.0
825.4,63.5,11.0
777.8,59.1,11.0
734.1,56.4,10.95
710.1,55.1,10.9
673.7,54.7,10.9
665.7,53.1,10.85
653.7,50.6,10.8
661.7,49.9,10.8
661.7,48.8,10.75
646.1,48.1,10.75
649.7,47.4,10.7
633.7,47.6,10.7
629.7,47.6,10.7
627.8,46.7,10.65
603.8,45.6,10.6
603.8,45.5,10.55
595.8,45.2,10.55
595.8,44.9,10.55
583.8,45.0,10.55
579.8,44.8,10.5
579.8,44.5,10.45
585.7,44.8,10.45
583.8,44.8,10.45
579.8,44.2,10.45
567.8,43.9,10.45
571.8,44.0,10.35
575.8,43.8,10.35
563.8,43.3,10.35
559.8,42.6,10.35
563.8,42.6,10.25
561.7,42.5,10.25
543.8,42.0,10.25
535.8,41.3,10.2
539.8,41.4,10.2
535.8,41.5,10.1
535.8,41.7,10.1
535.8,41.4,10.05
531.8,40.4,10.0
527.8,39.7,10.0
505.9,38.8,9.9
497.9,38.8,9.85
497.9,38.7,9.85
507.9,38.8,9.8
274.8,39.3,9.8
523.8,40.5,9.75
535.8,42.5,9.7
539.8,43.2,9.7
539.8,42.6,9.7
523.8,41.1,9.7
515.8,40.1,9.7
509.9,39.0,9.65
495.9,38.0,9.65
489.9,37.3,9.6
468.8,36.4,9.6
465.9,35.5,9.55
440.8,34.8,9.55
432.8,34.2,9.5
422.8,33.6,9.5
422.8,33.0,9.45
410.8,33.0,9.45
410.8,32.8,9.45
412.8,32.7,9.4
406.8,32.7,9.4
410.8,32.6,9.3
404.8,32.6,9.3
